Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount,date
Stella Can,9,64.35,0.0,64.35,7.65,2023-06-25
1/2 Chz 1/2 Pep,7,88.34,0.0,88.34,9.66,2023-06-25
Cutwater Tiki Rum Punch,20,214.4,0.0,214.4,25.6,2023-06-25
Iced Coffee,8,21.66,0.0,21.66,2.34,2023-06-25
Cracker Jacks,17,76.66,0.0,76.66,8.34,2023-06-25
Double Cheeseburger,14,154.04,6.32,160.36,16.96,2023-06-25
Movie Candy,17,61.37,0.0,61.37,6.63,2023-06-25
Hot Dog,228,767.12,3.38,770.5,84.12,2023-06-25
Italian Sausage w/ Peppers & Onions,28,201.87,0.0,201.87,22.13,2023-06-25
Hot Dog & Soda,12,0.0,0.0,0.0,0.0,2023-06-25
Deep River Chips,22,56.88,2.72,59.6,6.12,2023-06-25
Whole Pickle,10,27.1,0.0,27.1,2.9,2023-06-25
Powerade,24,72.66,3.16,75.82,7.84,2023-06-25
802 Bar,7,25.27,0.0,25.27,2.73,2023-06-25
Bottled Water,192,433.6,0.0,433.6,46.4,2023-06-25
Hamburger,12,77.63,3.37,81.0,8.62,2023-06-25
Peanuts,14,50.54,0.0,50.54,5.46,2023-06-25
Cotton Candy,18,64.98,0.0,64.98,7.02,2023-06-25
Popcorn,36,128.15,1.81,129.96,13.85,2023-06-25
Double Hamburger,1,10.81,0.0,10.81,1.19,2023-06-25
Pork Salad,11,94.61,4.5,99.11,10.39,2023-06-25
Citizen Cider DFT,7,50.05,0.0,50.05,5.95,2023-06-25
Nutrl Watermelon Vodka,9,80.37,0.0,80.37,9.63,2023-06-25
Hot Dog,64,212.94,3.37,216.31,23.31,2023-06-25
Hot Dog & Soda,5,0.0,0.0,0.0,0.0,2023-06-25
Italian Sausage w/ Peppers & Onions,13,90.13,3.6,93.73,9.87,2023-06-25
Bottled Water,37,82.48,1.13,83.61,8.77,2023-06-25
Double Cheeseburger,6,68.92,0.0,68.92,7.58,2023-06-25
"Footlong ""Monster"" Dog",12,59.4,0.0,59.4,6.6,2023-06-25
Fries,101,408.03,2.03,410.06,44.22,2023-06-25
Movie Candy,3,9.02,1.81,10.83,0.98,2023-06-25
BBQ Chicken Sandwich,8,57.68,0.0,57.68,6.32,2023-06-25
Loaded Fries Chicken,4,31.54,4.5,36.04,3.46,2023-06-25
Powerade,9,28.42,0.0,28.42,3.08,2023-06-25
Bottled Soda,39,123.16,0.0,123.16,13.34,2023-06-25
Hamburger,9,60.75,0.0,60.75,6.75,2023-06-25
Deep River Chips,1,2.71,0.0,2.71,0.29,2023-06-25
Cheeseburger,23,158.63,7.2,165.83,17.37,2023-06-25
ZG Conehead IPA DFT,5,35.75,0.0,35.75,4.25,2023-06-25
BBQ Pork Sandwich,6,43.26,0.0,43.26,4.74,2023-06-25
White Claw Mango,7,42.9,7.15,50.05,5.1,2023-06-25
Fiddlehead IPA DFT,3,21.45,0.0,21.45,2.55,2023-06-25
Bottled Soda,10,31.6,0.0,31.6,3.4,2023-06-25
Philly Cheesesteak,15,121.65,13.5,135.15,13.35,2023-06-25
Powerade,1,3.16,0.0,3.16,0.34,2023-06-25
Peanuts,1,3.61,0.0,3.61,0.39,2023-06-25
Hot Dog,30,92.97,8.43,101.4,10.15,2023-06-25
Italian Sausage w/ Peppers & Onions,5,36.05,0.0,36.05,3.95,2023-06-25
"Footlong ""Monster"" Dog",8,39.6,0.0,39.6,4.4,2023-06-25
Bottled Water,20,45.2,0.0,45.2,4.8,2023-06-25
Deep River Chips,4,10.84,0.0,10.84,1.16,2023-06-25
Popcorn,2,7.22,0.0,7.22,0.78,2023-06-25
Cheeseburger,7,50.47,0.0,50.47,5.53,2023-06-25
Hamburger,4,27.0,0.0,27.0,3.0,2023-06-25
Loaded Fries Pork,4,36.04,0.0,36.04,3.96,2023-06-25
Fiddlehead IPA DFT,36,257.4,0.0,257.4,30.6,2023-06-25
Stella Can,7,50.05,0.0,50.05,5.95,2023-06-25
Deep River Chips,3,6.77,1.36,8.13,0.73,2023-06-25
Red Mini Bat,7,62.93,0.0,62.93,6.93,2023-06-25
6 Sticker Pack,4,24.0,0.0,24.0,2.64,2023-06-25
Champ Logo Hoodie- Graphite Heather- L,1,49.99,0.0,49.99,0.0,2023-06-25
OC Camo Mesh Trucker,2,47.98,0.0,47.98,0.0,2023-06-25
Plastic hard hat - S,2,6.0,0.0,6.0,0.66,2023-06-25
Youth Primary Logo Tee Royal-L,1,21.99,0.0,21.99,0.0,2023-06-25
Youth Replica Home Jersey- S,1,60.0,0.0,60.0,0.0,2023-06-25
Document Tee- Vintage Smoke- L,1,26.99,0.0,26.99,0.0,2023-06-25
Glow In The Dark Souvenir Baseball,1,8.0,0.0,8.0,0.88,2023-06-25
Foam hotdog Hats,2,19.98,0.0,19.98,2.2,2023-06-25
Champ Logo Earrings- Blue,1,10.0,0.0,10.0,1.1,2023-06-25
Youth Champ Logo Tee- True Royal- M,3,65.97,0.0,65.97,0.0,2023-06-25
Hot Dog Tee- Heather Gray- L,1,25.99,0.0,25.99,0.0,2023-06-25
VLM Home Onfield Stretch Fit Cap- XL,1,29.99,0.0,29.99,0.0,2023-06-25
Primary Logo Tee- Navy- M,3,77.97,0.0,77.97,0.0,2023-06-25
Champ Play Ball,1,4.99,0.0,4.99,0.55,2023-06-25
Youth $0.25 Hot Dog Tee- Vintage Yellow- M,1,21.99,0.0,21.99,0.0,2023-06-25
Youth $0.25 Hot Dog Replica Jersey- S,1,60.0,0.0,60.0,0.0,2023-06-25
Youth Champ Logo Tee- True Royal- S,2,43.98,0.0,43.98,0.0,2023-06-25
Quinn Cap,1,23.99,0.0,23.99,0.0,2023-06-25
Champ Logo Tee Heather Gray- 2XL,1,25.99,0.0,25.99,0.0,2023-06-25
Blue Mini Bat,3,26.97,0.0,26.97,2.97,2023-06-25
White Souvenir Baseball,17,135.2,0.8,136.0,14.87,2023-06-25
3XL,1,23.99,0.0,23.99,0.0,2023-06-25
OC Baseline Classic Expos Cap- Royal,3,71.97,0.0,71.97,0.0,2023-06-25
Champ Logo Trucker- Royal Blue,2,46.23,3.75,49.98,0.0,2023-06-25
Dig In Bracelet,2,10.0,0.0,10.0,1.1,2023-06-25
Beer. Baseball. Tee- Vintage Navy-M,1,23.39,2.6,25.99,0.0,2023-06-25
Champ Logo Tee Vintage Black- XL,1,25.99,0.0,25.99,0.0,2023-06-25
Toddler daisy cap,1,18.99,0.0,18.99,0.0,2023-06-25
$0.25 Hot Dog Sticker,2,4.0,0.0,4.0,0.44,2023-06-25
VLM Away Onfield Stretch Fit Cap- M,2,59.98,0.0,59.98,0.0,2023-06-25
Soft Champ Logo Baseball,8,47.92,0.0,47.92,5.28,2023-06-25
Large Baseball Card Pack,6,56.94,3.0,59.94,6.27,2023-06-25
Sharpies,5,9.8,0.2,10.0,1.08,2023-06-25
Maple Kings Stretch Fit Cap- Dark Navy- XL,1,29.99,0.0,29.99,0.0,2023-06-25
Youth Maple Kings Hooded Sweatshirt- Navy- S,1,29.99,0.0,29.99,0.0,2023-06-25
Cross Bone Cap,4,115.96,0.0,115.96,0.0,2023-06-25
Champ Logo Keychain,1,6.0,0.0,6.0,0.66,2023-06-25
OC Baseline Classic Champ Cap- Navy,9,215.91,0.0,215.91,0.0,2023-06-25
OC Champ Cap- Light Gray,1,24.99,0.0,24.99,0.0,2023-06-25
Small Baseball Card Pack,6,17.94,0.0,17.94,1.98,2023-06-25
OC Baseline Classic Hot Dog Cap- Royal,1,23.99,0.0,23.99,0.0,2023-06-25
Maple Kings Sticker,2,4.0,0.0,4.0,0.44,2023-06-25
Maple Kings Youth Bolt Snapback,4,75.96,0.0,75.96,0.0,2023-06-25
VLM Tote Bag,1,5.0,0.0,5.0,0.55,2023-06-25
Champ Plush Doll,17,254.83,0.0,254.83,28.05,2023-06-25
OC Baseline Classic Maple Kings Cap- Navy,1,23.99,0.0,23.99,0.0,2023-06-25
Toddler Boisterous Tee- Green- 5/6,1,18.99,0.0,18.99,0.0,2023-06-25
M,1,16.99,3.0,19.99,0.0,2023-06-25
VT Expos Trucker- Royal,3,74.97,0.0,74.97,0.0,2023-06-25
Champ Tattoo,4,2.0,0.0,2.0,0.2,2023-06-25
Champ Logo Hoodie- Navy- M,0,-49.99,49.99,0.0,0.0,2023-06-25
Replica Expos Jersey- XL,1,80.0,0.0,80.0,0.0,2023-06-25
Primary Logo Tee- Ash- M,1,26.99,0.0,26.99,0.0,2023-06-25
White Replica Jersey- L,2,148.0,12.0,160.0,0.0,2023-06-25
Natural Mini Bat,4,35.96,0.0,35.96,3.96,2023-06-25
Kelly Green Mini Bat,2,17.98,0.0,17.98,1.98,2023-06-25
New Duds Maple Kings Primary Tee- Espresso- L,1,25.99,0.0,25.99,0.0,2023-06-25
Youth Primary Logo Tee Ash- M,2,43.98,0.0,43.98,0.0,2023-06-25
Youth Primary Logo Tee Royal- S,2,43.98,0.0,43.98,0.0,2023-06-25
Uncle Charlie cap,1,28.99,0.0,28.99,0.0,2023-06-25
LM Shot glass,3,20.97,0.0,20.97,2.31,2023-06-25
Infant Alphabet Mascot Tee- 12 mo,1,15.99,0.0,15.99,0.0,2023-06-25
White Replica Jersey- XL,1,80.0,0.0,80.0,0.0,2023-06-25
Youth replicia twill hat,7,132.93,0.0,132.93,0.0,2023-06-25
Champ Logo Tee Vintage Black- L,2,51.98,0.0,51.98,0.0,2023-06-25
Youth $0.25 Hot Dog Replica Jersey- M,2,111.0,9.0,120.0,0.0,2023-06-25
VLM #1 Foam Finger- Green,7,41.93,0.0,41.93,4.62,2023-06-25
Tie Dyed Souvenir Baseball,6,48.0,0.0,48.0,5.28,2023-06-25
Youth $0.25 Hot Dog Tee- Royal Blue- M,1,21.99,0.0,21.99,0.0,2023-06-25
VLM Foam Claw,10,89.9,0.0,89.9,9.9,2023-06-25
Labor Tee- Vintage Navy- L,1,28.99,0.0,28.99,0.0,2023-06-25
Primary Logo Tee- Gray- 2XL,1,25.99,0.0,25.99,0.0,2023-06-25
14th Star Baseline,20,143.0,0.0,143.0,17.0,2023-06-25
Lake Monsters Plastic Cup,2,7.98,0.0,7.98,0.88,2023-06-25
White Replica Jersey- S,1,80.0,0.0,80.0,0.0,2023-06-25
Barefoot Pinot Noir,1,7.15,0.0,7.15,0.85,2023-06-25
ZG Conehead IPA DFT,36,257.4,0.0,257.4,30.6,2023-06-25
Kona Golden Ale DFT,29,155.44,0.0,155.44,18.56,2023-06-25
14th Star Mexican Lager DFT,32,228.8,0.0,228.8,27.2,2023-06-25
Fiddlehead IPA DFT,145,1036.75,0.0,1036.75,123.25,2023-06-25
Barefoot Pinot Grigio,7,50.05,0.0,50.05,5.95,2023-06-25
von Trapp Helles DFT,22,157.3,0.0,157.3,18.7,2023-06-25
Budweiser DFT,38,203.68,0.0,203.68,24.32,2023-06-25
Barefoot Chardonnay,6,42.9,0.0,42.9,5.1,2023-06-25
90's Retro Staple Hat- White,1,34.99,0.0,34.99,0.0,2023-06-25
NYPL Patch,1,5.0,0.0,5.0,0.55,2023-06-25
Gear Tee- Heather Kelly Green- L,2,57.98,0.0,57.98,0.0,2023-06-25
OC Walk Off Diamond Patch Black Cap,2,53.98,0.0,53.98,0.0,2023-06-25
VLM Home Onfield Stretch Fit Cap- S,1,29.99,0.0,29.99,0.0,2023-06-25
Rescue Club IPA N/A,12,86.52,0.0,86.52,9.48,2023-06-25
Bottled Water,64,144.64,0.0,144.64,15.36,2023-06-25
Bud Light DFT,64,343.04,0.0,343.04,40.96,2023-06-25
14th Star Baseline,61,436.15,0.0,436.15,51.85,2023-06-25
Good Measure Cream Ale DFT,28,150.08,0.0,150.08,17.92,2023-06-25
Citizen Cider DFT,83,593.45,0.0,593.45,70.55,2023-06-25
Cracker Jacks,12,54.12,0.0,54.12,5.88,2023-06-25
Cheeseburger,59,417.73,14.4,432.13,45.77,2023-06-25
Long Trail Blackberry DFT,44,314.6,0.0,314.6,37.4,2023-06-25
Rescue Club Pils N/A,10,72.1,0.0,72.1,7.9,2023-06-25
Champ Logo 3/4 Raglan Tee- M,1,26.99,0.0,26.99,0.0,2023-06-25
Peanuts,12,43.32,0.0,43.32,4.68,2023-06-25
White Claw Mango,26,185.9,0.0,185.9,22.1,2023-06-25
Long Trail Ale DFT,19,135.85,0.0,135.85,16.15,2023-06-25
Barefoot Cabernet Sauvignon,4,28.6,0.0,28.6,3.4,2023-06-25
Finnish Long Drink,17,151.81,0.0,151.81,18.19,2023-06-25
Nutrl Watermelon Vodka,25,223.25,0.0,223.25,26.75,2023-06-25
ZG Lake Monster Light DFT,109,584.24,0.0,584.24,69.76,2023-06-25
Popcorn,17,61.37,0.0,61.37,6.63,2023-06-25
Cutwater Tiki Rum Punch,36,385.92,0.0,385.92,46.08,2023-06-25
Nike Dri-Fit Long Sleeve- Green- XL,1,42.0,0.0,42.0,0.0,2023-06-25
VLM Away Onfield Stretch Fit Cap- L,1,29.99,0.0,29.99,0.0,2023-06-25
Original Clean-Up,4,115.96,0.0,115.96,0.0,2023-06-25
White/Silver Metallic Souvenir Baseball,7,56.0,0.0,56.0,6.16,2023-06-25
Toddler Boisterous Tee- Green- 4T,1,18.99,0.0,18.99,0.0,2023-06-25
VT Champ Logo Earrings- Blue,1,10.0,0.0,10.0,1.1,2023-06-25
Nike Golf Victory Polo- Black- M,1,44.99,5.0,49.99,0.0,2023-06-25
Youth Champ Logo Tee- Ash- S,1,21.99,0.0,21.99,0.0,2023-06-25
White Replica Jersey- M,1,80.0,0.0,80.0,0.0,2023-06-25
Primary Logo Tee- Gray- M,1,25.99,0.0,25.99,0.0,2023-06-25
Green/Blue Plaid Baseball,4,32.0,0.0,32.0,3.52,2023-06-25
Champ Cape,1,8.25,0.0,8.25,0.9,2023-06-25
Replica Expos Jersey- M,2,160.0,0.0,160.0,0.0,2023-06-25
Lake Monsters Sticker,2,4.0,0.0,4.0,0.44,2023-06-25
Champ Logo Trucker- Khaki,2,49.98,0.0,49.98,0.0,2023-06-25
90's Retro Classic Script Hat- Navy,3,104.97,0.0,104.97,0.0,2023-06-25
Champ Pin,3,18.75,0.0,18.75,2.04,2023-06-25
12-18 mos,1,25.99,0.0,25.99,0.0,2023-06-25
Champ Logo Tee Vintage Black- S,1,25.99,0.0,25.99,0.0,2023-06-25
Champ Logo Tee Vintage Navy- L,1,25.99,0.0,25.99,0.0,2023-06-25
Youth Champ Logo Tee- Ash- M,3,65.97,0.0,65.97,0.0,2023-06-25
Ladie's Racerback Tank Top- Midnight Blue- XL,1,29.99,0.0,29.99,0.0,2023-06-25
Baseball Brim Cap,1,18.99,0.0,18.99,0.0,2023-06-25
Primary Logo Tee- Navy- L,1,25.99,0.0,25.99,0.0,2023-06-25
Maple Syrup,1,5.0,0.0,5.0,0.55,2023-06-25
Pen,2,3.98,0.0,3.98,0.44,2023-06-25
Labor Tee- Vintage Navy- 3XL,2,57.98,0.0,57.98,0.0,2023-06-25
Toddler Boisterous Tee- Green- 2T,1,18.99,0.0,18.99,0.0,2023-06-25
Nike Dri-Fit Long Sleeve- Navy- XL,1,42.0,0.0,42.0,0.0,2023-06-25
Champ Sticker,2,4.0,0.0,4.0,0.44,2023-06-25
Champ Logo Hoodie- Royal- S,1,49.99,0.0,49.99,0.0,2023-06-25
Labor Tee- Vintage Navy- XL,1,28.99,0.0,28.99,0.0,2023-06-25
Hot Dog Tee- Vintage Yellow- L,1,25.99,0.0,25.99,0.0,2023-06-25
VT Expos Sticker,3,6.0,0.0,6.0,0.66,2023-06-25
L,1,19.99,0.0,19.99,0.0,2023-06-25
VLM #1 Foam Finger- Blue,5,29.95,0.0,29.95,3.3,2023-06-25
Retro Sunset,1,6.99,0.0,6.99,0.77,2023-06-25
VLM Away Onfield Stretch Fit Cap- S,2,59.98,0.0,59.98,0.0,2023-06-25
Champ-ta Claus,2,31.98,0.0,31.98,3.52,2023-06-25
Bottled Soda,222,696.4,4.74,701.14,75.35,2023-06-25
Lemon Sorbet,3,10.83,0.0,10.83,1.17,2023-06-25
Hot Coffee,2,5.42,0.0,5.42,0.58,2023-06-25
Soft Pretzel,100,390.64,4.5,395.14,42.36,2023-06-25
Garden Salad,3,29.73,0.0,29.73,3.27,2023-06-25
Veggie Burger,13,81.92,0.0,81.92,9.08,2023-06-25
Season Ticket Holder Soda,63,56.7,0.0,56.7,6.3,2023-06-25
"Footlong ""Monster"" Dog",56,274.76,2.47,277.23,30.49,2023-06-25
14th Star Mexican Lager DFT,25,178.75,0.0,178.75,21.25,2023-06-27
ZG Conehead IPA DFT,73,521.95,0.0,521.95,62.05,2023-06-27
Bottled Water,20,45.2,0.0,45.2,4.8,2023-06-27
Lucky Row Scoop,16,0.0,0.0,0.0,0.0,2023-06-27
Bottled Water,12,25.99,1.13,27.12,2.76,2023-06-27
802 Bar,3,10.83,0.0,10.83,1.17,2023-06-27
Small Ice Cream,105,401.21,3.84,405.05,43.54,2023-06-27
Cotton Candy,20,70.39,1.81,72.2,7.61,2023-06-27
Popcorn,11,39.71,0.0,39.71,4.29,2023-06-27
Popcorn,11,39.71,0.0,39.71,4.29,2023-06-27
Loaded Fries Pork,2,18.02,0.0,18.02,1.98,2023-06-27
Italian Sausage w/ Peppers & Onions,3,21.63,0.0,21.63,2.37,2023-06-27
Large Ice Cream,66,359.83,20.0,379.83,39.92,2023-06-27
Finnish Long Drink,11,98.23,0.0,98.23,11.77,2023-06-27
White Claw Mango,42,300.3,0.0,300.3,35.7,2023-06-27
Nutrl Watermelon Vodka,9,80.37,0.0,80.37,9.63,2023-06-27
Citizen Cider DFT,92,657.8,0.0,657.8,78.2,2023-06-27
Budweiser DFT,39,209.04,0.0,209.04,24.96,2023-06-27
Barefoot Chardonnay,1,7.15,0.0,7.15,0.85,2023-06-27
ZG Lake Monster Light DFT,147,787.92,0.0,787.92,94.08,2023-06-27
Good Measure Cream Ale DFT,20,107.2,0.0,107.2,12.8,2023-06-27
Fiddlehead IPA DFT,184,1315.6,0.0,1315.6,156.4,2023-06-27
14th Star Baseline,54,386.1,0.0,386.1,45.9,2023-06-27
Stella Can,16,114.4,0.0,114.4,13.6,2023-06-27
Long Trail Blackberry DFT,43,307.45,0.0,307.45,36.55,2023-06-27
Rescue Club IPA N/A,3,21.63,0.0,21.63,2.37,2023-06-27
Bud Light DFT,72,385.92,0.0,385.92,46.08,2023-06-27
Peanuts,8,28.88,0.0,28.88,3.12,2023-06-27
Long Trail Ale DFT,12,85.8,0.0,85.8,10.2,2023-06-27
von Trapp Helles DFT,37,264.55,0.0,264.55,31.45,2023-06-27
Hamburger,1,6.75,0.0,6.75,0.75,2023-06-27
Barefoot Pinot Grigio,20,143.0,0.0,143.0,17.0,2023-06-27
BBQ Chicken Sandwich,1,7.21,0.0,7.21,0.79,2023-06-27
Boneless Wings & Fries,22,174.82,4.05,178.87,19.18,2023-06-27
Powerade,10,31.6,0.0,31.6,3.4,2023-06-27
Cutwater Tiki Rum Punch,16,171.52,0.0,171.52,20.48,2023-06-27
Barefoot Cabernet Sauvignon,3,21.45,0.0,21.45,2.55,2023-06-27
Bottled Water,8,18.08,0.0,18.08,1.92,2023-06-27
Stella Can,16,114.4,0.0,114.4,13.6,2023-06-27
Dippin Dots,238,1493.14,6.28,1499.42,165.86,2023-06-27
Bud Light DFT,55,294.8,0.0,294.8,35.2,2023-06-27
Citizen Cider DFT,53,378.95,0.0,378.95,45.05,2023-06-27
Lemonade BTL,3,7.9,1.58,9.48,0.85,2023-06-27
Barefoot Cabernet Sauvignon,1,7.15,0.0,7.15,0.85,2023-06-27
Diet Coke BTL,2,4.74,1.58,6.32,0.51,2023-06-27
Fiddlehead Wit DFT,13,92.95,0.0,92.95,11.05,2023-06-27
White Claw Mango,36,257.4,0.0,257.4,30.6,2023-06-27
Rescue Club IPA N/A,3,21.63,0.0,21.63,2.37,2023-06-27
Rescue Club IPA N/A,1,7.21,0.0,7.21,0.79,2023-06-27
Deep River Chips,2,5.42,0.0,5.42,0.58,2023-06-27
Barefoot Pinot Grigio,2,14.3,0.0,14.3,1.7,2023-06-27
14th Star Baseline,39,278.85,0.0,278.85,33.15,2023-06-27
Kona Golden Ale DFT,65,348.4,0.0,348.4,41.6,2023-06-27
Fries,113,459.23,0.0,459.23,49.77,2023-06-27
Bottled Water,28,63.28,0.0,63.28,6.72,2023-06-27
BBQ Pork Sandwich,3,21.63,0.0,21.63,2.37,2023-06-27
Loaded Fries Chicken,3,27.03,0.0,27.03,2.97,2023-06-27
Bottled Soda,59,186.38,0.0,186.38,20.12,2023-06-27
Double Cheeseburger,1,12.62,0.0,12.62,1.38,2023-06-27
Hot Dog,8,25.35,1.69,27.04,2.77,2023-06-27
Cheeseburger,13,83.6,11.48,95.08,9.15,2023-06-27
Nutrl Watermelon Vodka,9,80.37,0.0,80.37,9.63,2023-06-27
Cider Can,55,393.25,0.0,393.25,46.75,2023-06-27
Fiddlehead IPA DFT,100,715.0,0.0,715.0,85.0,2023-06-27
White Claw Mango,18,128.7,0.0,128.7,15.3,2023-06-27
Finnish Long Drink,3,26.79,0.0,26.79,3.21,2023-06-27
Kona Golden Ale DFT,91,487.76,0.0,487.76,58.24,2023-06-27
Cutwater Tiki Rum Punch,12,128.64,0.0,128.64,15.36,2023-06-27
Cracker Jacks,6,27.06,0.0,27.06,2.94,2023-06-27
Chips,4,18.04,0.0,18.04,1.96,2023-06-27
Pork Salad,2,18.02,0.0,18.02,1.98,2023-06-27
Chicken Nachos,7,54.07,9.0,63.07,5.93,2023-06-27
Chicken Tacos,6,39.66,3.6,43.26,4.34,2023-06-27
Veggie Nachos,6,54.06,0.0,54.06,5.94,2023-06-27
Veggie Tacos,2,14.42,0.0,14.42,1.58,2023-06-27
Pork Tacos,3,18.03,3.6,21.63,1.97,2023-06-27
Season Ticket Holder Soda,33,29.7,0.0,29.7,3.3,2023-06-27
Popcorn,2,7.22,0.0,7.22,0.78,2023-06-27
Cracker Jacks,4,18.04,0.0,18.04,1.96,2023-06-27
Boneless Wings & Fries,8,64.88,0.0,64.88,7.12,2023-06-27
Deep River Chips,5,13.55,0.0,13.55,1.45,2023-06-27
Fried Dough,144,894.64,12.56,907.2,99.36,2023-06-27
Cotton Candy,6,21.66,0.0,21.66,2.34,2023-06-27
Chicken Salad,4,36.04,0.0,36.04,3.96,2023-06-27
Bottled Water,14,31.64,0.0,31.64,3.36,2023-06-27
Veggie Salad,3,27.03,0.0,27.03,2.97,2023-06-27
Mozz Sticks,14,88.2,0.0,88.2,9.8,2023-06-27
Powerade,3,9.48,0.0,9.48,1.02,2023-06-27
Fried Pickles,14,88.2,0.0,88.2,9.8,2023-06-27
Bottled Water,12,27.12,0.0,27.12,2.88,2023-06-27
Cotton Candy,9,32.49,0.0,32.49,3.51,2023-06-27
Movie Candy,6,21.66,0.0,21.66,2.34,2023-06-27
Onion Rings,7,44.1,0.0,44.1,4.9,2023-06-27
Bottled Soda,33,104.2,0.0,104.2,11.3,2023-06-27
Mini Corn Dogs,9,56.7,0.0,56.7,6.3,2023-06-27
Popcorn,7,25.27,0.0,25.27,2.73,2023-06-27
Bottled Water,38,85.88,0.0,85.88,9.12,2023-06-27
Bottled Soda,28,88.48,0.0,88.48,9.52,2023-06-27
Deep River Chips,11,29.81,0.0,29.81,3.19,2023-06-27
0.25 Hot Dog,1359,312.57,0.0,312.57,27.18,2023-06-27
Pork Nachos,5,45.05,0.0,45.05,4.95,2023-06-27
Fountain Soda,42,113.82,0.0,113.82,12.18,2023-06-27
Fried Dough w/ Chicken,5,45.05,0.0,45.05,4.95,2023-06-27
Peanuts,2,7.22,0.0,7.22,0.78,2023-06-27
Barefoot Pinot Grigio,1,7.15,0.0,7.15,0.85,2023-06-27
Fiddlehead IPA DFT,16,114.4,0.0,114.4,13.6,2023-06-27
0.25 Hot Dog,18,4.1,0.0,4.1,0.4,2023-06-27
ZG Conehead IPA DFT,35,250.25,0.0,250.25,29.75,2023-06-27
Finnish Long Drink,18,160.74,0.0,160.74,19.26,2023-06-27
Dr. Pepper BTL,1,3.16,0.0,3.16,0.34,2023-06-27
Nutrl Watermelon Vodka,19,169.67,0.0,169.67,20.33,2023-06-27
Pepperoni Pizza,2,25.24,0.0,25.24,2.76,2023-06-27
Citizen Cider DFT,13,92.95,0.0,92.95,11.05,2023-06-27
Fiddlehead Wit DFT,11,78.65,0.0,78.65,9.35,2023-06-27
Long Trail Ale DFT,7,50.05,0.0,50.05,5.95,2023-06-27
Cheese Pizza,2,21.62,0.0,21.62,2.38,2023-06-27
Bud Light DFT,27,144.72,0.0,144.72,17.28,2023-06-27
ZG Lake Monster Light DFT,19,101.84,0.0,101.84,12.16,2023-06-27
Finnish Long Drink,14,125.02,0.0,125.02,14.98,2023-06-27
Powerade,1,3.16,0.0,3.16,0.34,2023-06-27
Rescue Club IPA N/A,2,14.42,0.0,14.42,1.58,2023-06-27
White Claw Mango,3,21.45,0.0,21.45,2.55,2023-06-27
Queen City Porter DFT,2,14.3,0.0,14.3,1.7,2023-06-27
Fries,41,166.46,0.0,166.46,18.04,2023-06-27
Poutine,10,90.1,0.0,90.1,9.9,2023-06-27
Poutine w/ Chicken,2,23.44,0.0,23.44,2.56,2023-06-27
Cheese Pizza,34,367.54,0.0,367.54,40.46,2023-06-27
Emp pep,3,16.2,0.0,16.2,1.8,2023-06-27
Emp chz,7,37.8,0.0,37.8,4.2,2023-06-27
Rescue Club Pils N/A,4,28.84,0.0,28.84,3.16,2023-06-27
1/2 Chz 1/2 Shroom,1,12.62,0.0,12.62,1.38,2023-06-27
Mushroom Pizza,14,176.68,0.0,176.68,19.32,2023-06-27
Emp Shroom,1,5.4,0.0,5.4,0.6,2023-06-27
Pepperoni Pizza,13,164.06,0.0,164.06,17.94,2023-06-27
1/2 Chz 1/2 Pep,1,12.62,0.0,12.62,1.38,2023-06-27
Full Pep Full Shroom,1,12.62,0.0,12.62,1.38,2023-06-27
Barefoot Pinot Noir,3,21.45,0.0,21.45,2.55,2023-06-27
Agrumata Italian Soda,4,14.21,2.03,16.24,1.54,2023-06-27
Strawberry Lemon Rose,10,80.4,0.0,80.4,9.6,2023-06-27
Coke BTL,6,18.96,0.0,18.96,2.04,2023-06-27
Lake Hopper Cider Can,29,207.35,0.0,207.35,24.65,2023-06-27
Red Mini Bat,2,17.98,0.0,17.98,1.98,2023-06-27
VLM Away Onfield Stretch Fit Cap- L,3,89.97,0.0,89.97,0.0,2023-06-27
Hot Dog Tee- Vintage Navy- M,1,25.99,0.0,25.99,0.0,2023-06-27
Champ Logo Keychain,1,6.0,0.0,6.0,0.66,2023-06-27
Hot Dog Tee- Vintage Navy- XXL,2,51.98,0.0,51.98,0.0,2023-06-27
Original Clean-Up,4,115.96,0.0,115.96,0.0,2023-06-27
$0.25 Hot Dog Sticker,21,42.0,0.0,42.0,4.62,2023-06-27
Champ-ta Claus,1,15.99,0.0,15.99,1.76,2023-06-27
Champ Blanket,2,50.0,0.0,50.0,5.5,2023-06-27
Foam hotdog Hats,41,409.59,0.0,409.59,45.1,2023-06-27
Blue Mini Bat,1,8.99,0.0,8.99,0.99,2023-06-27
White Replica Jersey- L,1,80.0,0.0,80.0,0.0,2023-06-27
OC Baseline Classic 802 Cap- Navy,1,23.99,0.0,23.99,0.0,2023-06-27
Vermont Expos Tee- Heather Gray- XL,1,25.99,0.0,25.99,0.0,2023-06-27
Youth Primary Logo Tee Royal- S,1,21.99,0.0,21.99,0.0,2023-06-27
Kelly Green Mini Bat,6,53.94,0.0,53.94,5.94,2023-06-27
Champ Logo Trucker- Khaki,2,49.98,0.0,49.98,0.0,2023-06-27
Retro Staple Crewneck- Heather White- S,1,38.99,0.0,38.99,0.0,2023-06-27
